Month,ElecNetImports
2001-01-01,1.87
2001-02-01,0.46
2001-03-01,1.73
2001-04-01,2.38
2001-05-01,2.87
2001-06-01,2.42
2001-07-01,2.35
2001-08-01,2.59
2001-09-01,0.62
2001-10-01,0.98
2001-11-01,1.15
2001-12-01,2.62
2002-01-01,2.47
2002-02-01,1.93
2002-03-01,1.53
2002-04-01,1.68
2002-05-01,0.63
2002-06-01,1.81
2002-07-01,3.59
2002-08-01,2.96
2002-09-01,1.61
2002-10-01,1.32
2002-11-01,0.93
2002-12-01,0.53
2003-01-01,1.33
2003-02-01,0.93
2003-03-01,0.37
2003-04-01,0.84
2003-05-01,0.4
2003-06-01,0.39
2003-07-01,2.3
2003-08-01,2.21
2003-09-01,-0.4
2003-10-01,-1.4
2003-11-01,-0.77
2003-12-01,0.22
2004-01-01,0.13
2004-02-01,-0.12
2004-03-01,-0.92
2004-04-01,0.0
2004-05-01,0.18
2004-06-01,0.64
2004-07-01,2.9
2004-08-01,3.43
2004-09-01,0.95
2004-10-01,1.06
2004-11-01,1.5
2004-12-01,1.57
2005-01-01,1.48
2005-02-01,1.8
2005-03-01,2.39
2005-04-01,1.84
2005-05-01,1.52
2005-06-01,1.59
2005-07-01,2.8
2005-08-01,3.52
2005-09-01,1.85
2005-10-01,1.87
2005-11-01,2.06
2005-12-01,2.08
2006-01-01,1.44
2006-02-01,1.58
2006-03-01,1.66
2006-04-01,1.4
2006-05-01,1.45
2006-06-01,1.42
2006-07-01,3.07
2006-08-01,3.08
2006-09-01,0.0
2006-10-01,0.35
2004-05-01,0.76
2006-12-01,2.21
2007-01-01,1.9
2007-02-01,2.84
2007-03-01,1.8
2007-04-01,2.83
2007-05-01,3.48
2007-06-01,3.19
2007-07-01,3.77
2007-08-01,3.49
2007-09-01,1.38
2007-10-01,2.01
2007-11-01,2.53
2007-12-01,2.03
2008-01-01,3.25
2008-02-01,3.05
2008-03-01,2.15
2008-04-01,2.73
2008-05-01,2.31
2008-06-01,2.75
2008-07-01,4.31
2008-08-01,4.34
2008-09-01,3.06
2008-10-01,1.61
2008-11-01,1.22
2008-12-01,2.04
2009-01-01,2.02
2009-02-01,2.35
2009-03-01,1.24
2009-04-01,1.81
2009-05-01,2.74
2009-06-01,3.1
2009-07-01,4.08
2009-08-01,4.48
2009-09-01,3.09
2009-10-01,3.35
2009-11-01,2.55
2009-12-01,3.25
2010-01-01,4.14
2010-02-01,3.39
2010-03-01,3.05
2010-04-01,2.61
2010-05-01,1.32
2010-06-01,2.5
2010-07-01,2.81
2010-08-01,1.82
2010-09-01,0.52
2010-10-01,0.43
2010-11-01,0.79
2010-12-01,2.6
2011-01-01,2.69
2011-02-01,2.22
2011-04-01,2.48
2011-04-01,2.2
2011-05-01,3.62
2011-06-01,3.17
2011-07-01,4.77
2011-08-01,4.58
2011-09-01,3.02
2011-10-01,2.79
2011-11-01,2.34
2011-12-01,3.39
2012-01-01,3.22
2012-02-01,2.77
2012-03-01,3.01
2012-04-01,3.74
2012-05-01,4.32
2012-06-01,4.16
2012-07-01,5.67
2012-08-01,5.5
2012-09-01,4.0
2012-10-01,3.66
2012-11-01,3.9
2012-12-01,3.33
2013-01-01,4.32
2013-02-01,4.25
2013-03-01,4.63
2013-04-01,3.98
2013-05-01,5.01
2013-06-01,5.51
2013-07-01,5.87
2013-08-01,6.14
2013-09-01,4.93
2013-10-01,4.35
2013-11-01,4.66
2013-12-01,4.22
2014-01-01,4.18
2014-02-01,3.15
2014-03-01,3.65
2014-04-01,3.45
2014-05-01,4.56
2014-06-01,4.45
2014-07-01,5.27
2014-08-01,5.82
2014-09-01,5.27
2014-10-01,4.42
2014-11-01,4.71
2014-12-01,4.29
